timestamp,funding_rate
2026-05-10 16:00:00,-3e-06
2026-05-11 00:00:00,-0.00012
2026-05-11 08:00:00,2e-06
2026-05-11 16:00:00,-1e-06
2026-05-12 00:00:00,-0.000128
2026-05-12 08:00:00,-2.1e-05
2026-05-12 16:00:00,1.1e-05
2026-05-13 00:00:00,1.8e-05
2026-05-13 08:00:00,-3.5e-05
2026-05-13 16:00:00,4.9e-05
2026-05-14 00:00:00,0.000191
2026-05-14 08:00:00,8.8e-05
2026-05-14 16:00:00,3.7e-05
2026-05-15 00:00:00,-0.000249
2026-05-15 08:00:00,-7e-05
2026-05-15 16:00:00,5e-05
2026-05-16 00:00:00,6.9e-05
2026-05-16 08:00:00,5.4e-05
2026-05-16 16:00:00,0.000103
2026-05-17 00:00:00,0.000133
2026-05-17 08:00:00,4.9e-05
2026-05-17 16:00:00,4.2e-05
2026-05-18 00:00:00,4.7e-05
2026-05-18 08:00:00,5.3e-05
2026-05-18 16:00:00,0.000158
2026-05-19 00:00:00,1.8e-05
2026-05-19 08:00:00,1.5e-05
2026-05-19 16:00:00,6.5e-05
2026-05-20 00:00:00,3.8e-05
2026-05-20 08:00:00,2.7e-05
2026-05-20 16:00:00,-4e-06
2026-05-21 00:00:00,2.4e-05
2026-05-21 08:00:00,-3.7e-05
2026-05-21 16:00:00,3.5e-05
2026-05-22 00:00:00,-2.1e-05
2026-05-22 08:00:00,-5.8e-05
2026-05-22 16:00:00,5.5e-05
2026-05-23 00:00:00,9.1e-05
2026-05-23 08:00:00,6.5e-05
2026-05-23 16:00:00,2.8e-05
2026-05-24 00:00:00,-5e-06
2026-05-24 08:00:00,-4.1e-05
2026-05-24 16:00:00,-5.1e-05
2026-05-25 00:00:00,2.7e-05
2026-05-25 08:00:00,-2.3e-05
2026-05-25 16:00:00,-2.5e-05
2026-05-26 00:00:00,8e-06
2026-05-26 08:00:00,2e-06
2026-05-26 16:00:00,-1.2e-05
2026-05-27 00:00:00,6.1e-05
2026-05-27 08:00:00,1.1e-05
2026-05-27 16:00:00,5.2e-05
2026-05-28 00:00:00,2.7e-05
2026-05-28 08:00:00,9.1e-05
2026-05-28 16:00:00,7.9e-05
2026-05-29 00:00:00,0.000116
2026-05-29 08:00:00,0.000125
2026-05-29 16:00:00,8.3e-05
2026-05-30 00:00:00,4e-05
2026-05-30 08:00:00,7.6e-05
2026-05-30 16:00:00,8.5e-05
2026-05-31 00:00:00,-1.6e-05
2026-05-31 08:00:00,-1.6e-05
2026-05-31 16:00:00,0.000103
2026-06-01 00:00:00,0.000112
2026-06-01 08:00:00,7.7e-05
2026-06-01 16:00:00,0.000149
2026-06-02 00:00:00,0.000112
2026-06-02 08:00:00,0.000107
2026-06-02 16:00:00,7.6e-05
2026-06-03 00:00:00,6.5e-05
2026-06-03 08:00:00,2.4e-05
2026-06-03 16:00:00,9.9e-05
2026-06-04 00:00:00,9.5e-05
2026-06-04 08:00:00,-1e-06
2026-06-04 16:00:00,-5e-06
2026-06-05 00:00:00,2e-06
2026-06-05 08:00:00,3.9e-05
2026-06-05 16:00:00,2.8e-05
2026-06-06 00:00:00,2.8e-05
2026-06-06 08:00:00,3e-06
2026-06-06 16:00:00,-1.1e-05
2026-06-07 00:00:00,-3.7e-05
2026-06-07 08:00:00,1.4e-05
2026-06-07 16:00:00,4.9e-05
2026-06-08 00:00:00,1.6e-05
2026-06-08 08:00:00,2.5e-05
2026-06-08 16:00:00,-3e-06
2026-06-09 00:00:00,4.2e-05
2026-06-09 08:00:00,2.4e-05
