timestamp,open,high,low,close,volume,quote_volume
2025-10-31 22:00:00,3848.0,3849.98,3831.0,3841.62,4592.0367,17640490.634011
2025-10-31 22:30:00,3848.0,3849.98,3831.0,3841.62,4592.0367,17640490.634011
2025-10-31 23:00:00,3848.0,3849.98,3831.0,3841.62,4592.0367,17640490.634011
2025-10-31 23:30:00,3848.0,3849.98,3831.0,3841.62,4592.0367,17640490.634011
2025-11-01 00:00:00,3848.0,3849.98,3831.0,3841.62,4592.0367,17640490.634011
2025-11-01 00:30:00,3841.61,3849.0,3833.94,3847.52,2945.4442,11316360.372762
2025-11-01 01:00:00,3847.52,3856.0,3844.89,3855.73,2277.9639,8769498.530449
2025-11-01 01:30:00,3855.74,3860.91,3843.0,3844.17,2532.3233,9751594.712492
2025-11-01 02:00:00,3844.16,3848.6,3836.67,3847.3,2861.2455,10994938.682496
2025-11-01 02:30:00,3847.3,3855.02,3838.96,3852.26,2063.7858,7942131.897631
2025-11-01 03:00:00,3852.27,3859.1,3851.52,3856.49,2296.1689,8851553.907187
2025-11-01 03:30:00,3856.49,3864.43,3854.95,3861.38,2082.5125,8038208.489669
2025-11-01 04:00:00,3861.38,3868.85,3855.36,3862.73,2746.0332,10606077.732742
2025-11-01 04:30:00,3862.73,3869.55,3858.22,3867.07,4941.1665,19102256.20356
2025-11-01 05:00:00,3867.06,3867.75,3858.22,3864.19,1623.4288,6271248.064492
2025-11-01 05:30:00,3864.18,3866.6,3853.67,3855.47,2839.7077,10961599.118398
2025-11-01 06:00:00,3855.47,3859.45,3852.96,3855.18,2979.8619,11489246.474302
2025-11-01 06:30:00,3855.18,3861.35,3853.12,3858.65,2260.2346,8716106.280078
2025-11-01 07:00:00,3858.65,3867.41,3856.71,3865.19,2301.432,8888393.871443
2025-11-01 07:30:00,3865.2,3867.41,3859.02,3860.84,1768.0827,6829137.772072
2025-11-01 08:00:00,3860.84,3870.5,3860.73,3867.46,3715.389,14360203.518309
2025-11-01 08:30:00,3867.47,3882.94,3866.49,3882.19,4357.258,16882096.906895
2025-11-01 09:00:00,3882.19,3882.55,3874.38,3876.9,3744.0681,14521549.169971
2025-11-01 09:30:00,3876.91,3878.19,3872.02,3875.34,2849.3832,11043039.339971
2025-11-01 10:00:00,3875.35,3880.17,3872.04,3873.81,2992.0246,11594483.429659
2025-11-01 10:30:00,3873.81,3882.01,3873.31,3876.8,2960.5684,11479116.402342
2025-11-01 11:00:00,3876.8,3881.29,3872.05,3872.38,2219.5074,8606420.097068
2025-11-01 11:30:00,3872.39,3878.02,3868.83,3877.79,3006.3117,11646748.825138
2025-11-01 12:00:00,3877.79,3881.0,3875.82,3878.12,2599.7679,10083292.005309
2025-11-01 12:30:00,3878.12,3880.83,3875.26,3876.22,2962.8946,11491856.015441
2025-11-01 13:00:00,3876.23,3879.2,3873.33,3874.93,2499.8983,9691440.690294
2025-11-01 13:30:00,3874.93,3877.0,3858.11,3870.3,4569.6127,17667874.038049
2025-11-01 14:00:00,3870.29,3873.69,3858.44,3865.45,4938.5142,19083102.203593
2025-11-01 14:30:00,3865.45,3875.29,3862.0,3873.42,3141.7445,12160475.628553
2025-11-01 15:00:00,3873.41,3902.0,3871.4,3887.69,12831.4096,49910319.19574
2025-11-01 15:30:00,3887.69,3895.41,3882.57,3895.15,5471.8152,21279975.541984
2025-11-01 16:00:00,3895.15,3909.39,3886.01,3886.22,9128.588,35567150.916773
2025-11-01 16:30:00,3886.21,3902.99,3886.21,3892.23,3644.9821,14201545.516841
2025-11-01 17:00:00,3892.24,3894.24,3868.82,3869.4,7369.3358,28591937.200066
2025-11-01 17:30:00,3869.4,3875.85,3862.92,3865.96,3492.9387,13515577.225432
2025-11-01 18:00:00,3865.96,3877.44,3863.95,3870.39,2320.3095,8979622.275724
2025-11-01 18:30:00,3870.4,3880.72,3869.56,3880.26,1688.4753,6546139.339902
2025-11-01 19:00:00,3880.26,3880.26,3873.86,3874.07,845.0213,3275948.809834
2025-11-01 19:30:00,3874.08,3880.9,3871.21,3879.99,943.2485,3657110.645026
2025-11-01 20:00:00,3880.0,3889.21,3879.0,3889.21,2808.5342,10911152.71707
2025-11-01 20:30:00,3889.2,3891.6,3879.79,3881.49,2064.3645,8023341.682001
2025-11-01 21:00:00,3881.5,3883.77,3876.92,3882.91,1177.3338,4568767.741388
2025-11-01 21:30:00,3882.91,3884.49,3867.67,3867.68,1757.8924,6811426.233521
2025-11-01 22:00:00,3867.67,3874.33,3864.31,3870.74,2880.3223,11142330.181018
2025-11-01 22:30:00,3870.73,3875.88,3869.2,3874.68,2056.9812,7965528.45302
2025-11-01 23:00:00,3874.67,3875.79,3868.9,3874.03,1463.878,5667788.666614
2025-11-01 23:30:00,3874.04,3876.92,3871.06,3873.77,1384.3614,5363255.405237
